50 0.003796 1 0.000380 10
100 0.025812 1 0.002581 10
150 0.089431 1 0.008943 10
200 0.459544 1 0.045954 10
250 1.496278 1 0.149628 10
300 3.066740 1 0.306674 10
350 5.294053 1 0.529405 10
400 8.262535 1 0.826253 10
450 11.933832 1 1.193383 10
500 16.649785 1 1.664979 10
550 22.262079 1 2.226208 10
600 29.276761 1 2.927676 10
650 37.015640 1 3.701564 10
700 46.366362 1 4.636636 10
750 57.160944 1 5.716094 10
800 69.771441 1 6.977144 10
850 83.286614 1 8.328661 10
900 99.512144 1 9.951214 10
950 116.619149 1 11.661915 10
1000 136.547718 1 13.654772 10
1050 158.476761 1 15.847676 10
1100 181.670359 1 18.167036 10
1150 206.565047 1 20.656505 10
1200 235.249917 1 23.524992 10
1250 264.644376 1 26.464438 10
1300 297.818406 1 29.781841 10
1350 330.721131 1 33.072113 10
1400 370.291294 1 37.029129 10
1450 410.127543 1 41.012754 10
