100 0.203516 2 0.020352 10
200 1.342363 2 0.134236 10
300 5.677814 2 0.567781 10
400 14.247927 2 1.424793 10
500 32.002285 2 3.200229 10
600 60.352659 2 6.035266 10
700 104.610097 2 10.461010 10
800 165.332496 2 16.533250 10
900 246.059493 2 24.605949 10
1000 347.867518 2 34.786752 10
1100 475.863898 2 47.586390 10
1200 626.624701 2 62.662470 10
1300 807.335156 2 80.733516 10
1400 1015.926388 2 101.592639 10
1500 1257.032044 2 125.703204 10
1600 1543.663284 2 154.366328 10
1700 1860.035583 2 186.003558 10
1800 2209.062091 2 220.906209 10
1900 2608.191952 2 260.819195 10
2000 3067.334732 2 306.733473 10
