2 0.000237s 10
2 0.000317s 20
2 0.000491s 30
2 0.000832s 40
2 0.001455s 50
2 0.002332s 60
2 0.003657s 70
2 0.005822s 80
2 0.007537s 90
2 0.010198s 100
2 0.256322s 200
2 1.021530s 300
2 2.448336s 400
2 4.766288s 500
2 8.315865s 600
2 13.170994s 700
2 43.580950s 800
2 28.020352s 900
2 39.244598s 1000
4 0.000412s 10
4 0.000474s 20
4 0.000632s 30
4 0.001039s 40
4 0.001620s 50
4 0.002574s 60
4 0.003891s 70
4 0.005680s 80
4 0.008080s 90
4 0.010556s 100
4 0.256047s 200
4 1.028072s 300
4 2.460458s 400
4 4.798394s 500
4 8.305160s 600
4 13.173194s 700
4 35.661411s 800
4 28.111594s 900
4 39.210538s 1000
9 0.000981s 10
9 0.000855s 20
9 0.001060s 30
9 0.001369s 40
9 0.002156s 50
9 0.003043s 60
9 0.004527s 70
9 0.006400s 80
9 0.008924s 90
9 0.011773s 100
9 0.258144s 200
9 1.024464s 300
9 2.458018s 400
9 4.777981s 500
9 8.295293s 600
9 13.149610s 700
9 37.318694s 800
9 28.007344s 900
9 41.040019s 1000
16 0.001858s 10
16 0.001770s 20
16 0.001547s 30
16 0.001919s 40
16 0.002599s 50
16 0.003560s 60
16 0.005077s 70
16 0.006727s 80
16 0.009017s 90
16 0.012060s 100
16 0.263692s 200
16 1.020874s 300
16 2.452951s 400
16 4.761962s 500
16 8.284398s 600
16 13.128073s 700
16 35.021741s 800
16 27.968509s 900
16 39.496077s 1000
25 0.003005s 10
25 0.002973s 20
25 0.002449s 30
25 0.002722s 40
25 0.003376s 50
25 0.004322s 60
25 0.005820s 70
25 0.007656s 80
25 0.010498s 90
25 0.013267s 100
25 0.260991s 200
25 1.022275s 300
25 2.454737s 400
25 4.778677s 500
25 8.318959s 600
25 13.121453s 700
25 37.971478s 800
25 28.028221s 900
25 38.992448s 1000
