   2.870000     AND   6.705523E-10 OR   2.870000    
   2.870000     AND   6.705523E-10 OR   2.870000    
   2.869999     AND   6.705523E-10 OR   2.869999    
   2.870000     AND   6.705523E-10 OR   2.870000    
   2.929999     AND   6.705523E-10 OR   2.929999    
   2.870001     AND   6.705523E-10 OR   2.870001    
   2.869999     AND   6.705523E-10 OR   2.869999    
   2.870001     AND   6.705523E-10 OR   2.870001    
   2.880001     AND   6.705523E-10 OR   2.880001    
   2.870001     AND   6.705523E-10 OR   2.870001    
