50 0.012057 4 0.001206 10
100 0.033130 4 0.003313 10
150 0.070699 4 0.007070 10
200 0.120487 4 0.012049 10
250 0.182959 4 0.018296 10
300 0.271899 4 0.027190 10
350 0.355127 4 0.035513 10
400 0.462510 4 0.046251 10
450 0.583696 4 0.058370 10
500 0.723509 4 0.072351 10
550 0.868788 4 0.086879 10
600 1.032216 4 0.103222 10
650 1.218242 4 0.121824 10
700 1.413565 4 0.141356 10
750 1.601357 4 0.160136 10
800 1.854115 4 0.185412 10
850 2.075003 4 0.207500 10
900 2.503991 4 0.250399 10
950 2.721508 4 0.272151 10
1000 3.061480 4 0.306148 10
1050 3.390259 4 0.339026 10
1100 3.781890 4 0.378189 10
1150 4.329789 4 0.432979 10
1200 4.730041 4 0.473004 10
1250 5.379156 4 0.537916 10
1300 5.768475 4 0.576848 10
