50 0.015973 1 0.001597 10
100 0.073143 1 0.007314 10
150 0.116064 1 0.011606 10
200 0.245751 1 0.024575 10
250 0.379874 1 0.037987 10
300 0.448629 1 0.044863 10
350 0.728532 1 0.072853 10
400 0.944475 1 0.094448 10
450 1.392058 1 0.139206 10
500 1.467065 1 0.146706 10
550 2.071968 1 0.207197 10
600 2.110649 1 0.211065 10
650 2.889808 1 0.288981 10
700 3.352497 1 0.335250 10
750 3.841678 1 0.384168 10
800 4.360135 1 0.436013 10
850 4.945644 1 0.494564 10
900 5.509760 1 0.550976 10
950 5.295216 1 0.529522 10
1000 6.847005 1 0.684700 10
1050 7.528973 1 0.752897 10
1100 8.252922 1 0.825292 10
1150 9.022741 1 0.902274 10
1200 9.811543 1 0.981154 10
1250 10.653651 1 1.065365 10
1300 11.507293 1 1.150729 10
1350 12.416760 1 1.241676 10
1400 13.333962 1 1.333396 10
1450 14.312310 1 1.431231 10
1500 15.302302 1 1.530230 10
1550 16.343712 1 1.634371 10
1600 17.392595 1 1.739259 10
1650 18.521491 1 1.852149 10
1700 19.627454 1 1.962745 10
1750 20.808951 1 2.080895 10
1800 25.135326 1 2.513533 10
1850 23.261604 1 2.326160 10
1900 24.497878 1 2.449788 10
1950 25.828297 1 2.582830 10
2000 27.134421 1 2.713442 10
2050 28.549766 1 2.854977 10
2100 29.911792 1 2.991179 10
2150 31.380810 1 3.138081 10
2200 32.815423 1 3.281542 10
2250 34.367463 1 3.436746 10
2300 40.972102 1 4.097210 10
2350 37.470494 1 3.747049 10
2400 39.035535 1 3.903553 10
2450 40.727277 1 4.072728 10
2500 42.342393 1 4.234239 10
