2 0.488806 10 
2 0.978767 20 
2 1.064089 30 
2 1.145499 40 
2 1.109901 50 
2 1.073194 60 
2 1.143194 70 
2 1.358374 80 
2 1.423519 90 
2 1.468713 100 
2 1.568796 200 
2 1.536573 300 
2 1.550546 400 
2 1.576983 500 
2 1.576063 600 
2 1.583012 700 
2 1.566715 800 
2 1.596028 900 
2 1.597719 1000 
4 0.492453 10 
4 0.952527 20 
4 1.063978 30 
4 1.151132 40 
4 1.111821 50 
4 1.120752 60 
4 1.169057 70 
4 1.318846 80 
4 1.424897 90 
4 1.464193 100 
4 1.553977 200 
4 1.523558 300 
4 1.546655 400 
4 1.571597 500 
4 1.568275 600 
4 1.583194 700 
4 1.230962 800 
4 1.595784 900 
4 1.599709 1000 
9 0.527721 10 
9 0.941176 20 
9 1.041631 30 
9 1.130931 40 
9 1.134369 50 
9 1.113991 60 
9 1.178032 70 
9 1.385826 80 
9 1.401816 90 
9 1.496469 100 
9 1.506368 200 
9 1.461245 300 
9 1.469276 400 
9 1.491542 500 
9 1.488209 600 
9 1.484568 700 
9 1.199661 800 
9 1.495461 900 
9 1.500689 1000 
16 0.575221 10 
16 0.862373 20 
16 1.021736 30 
16 1.119705 40 
16 1.099551 50 
16 1.108577 60 
16 1.169408 70 
16 1.366753 80 
16 1.405905 90 
16 1.479712 100 
16 1.579044 200 
16 1.529765 300 
16 1.554626 400 
16 1.578523 500 
16 1.587309 600 
16 1.579642 700 
16 1.243383 800 
16 1.589144 900 
16 1.599076 1000 
25 0.493333 10 
25 0.784784 20 
25 1.019706 30 
25 1.068600 40 
25 1.073454 50 
25 1.149746 60 
25 1.168446 70 
25 1.357768 80 
25 1.403142 90 
25 1.503586 100 
25 1.567702 200 
25 1.511934 300 
25 1.518582 400 
25 1.543899 500 
25 1.534971 600 
25 1.549110 700 
25 1.244665 800 
25 1.561781 900 
25 1.565916 1000 
