50 0.036257 5 0.003626 10
100 0.083158 5 0.008316 10
150 0.171375 5 0.017137 10
200 0.290472 5 0.029047 10
250 0.446161 5 0.044616 10
300 0.652197 5 0.065220 10
350 0.870066 5 0.087007 10
400 1.131999 5 0.113200 10
450 1.425539 5 0.142554 10
500 1.758793 5 0.175879 10
550 2.120597 5 0.212060 10
600 2.526921 5 0.252692 10
650 2.951335 5 0.295133 10
700 3.415682 5 0.341568 10
750 3.910819 5 0.391082 10
800 4.463150 5 0.446315 10
850 5.014972 5 0.501497 10
900 5.627429 5 0.562743 10
950 6.244462 5 0.624446 10
1000 6.939494 5 0.693949 10
1050 7.635732 5 0.763573 10
1100 8.377402 5 0.837740 10
1150 9.128585 5 0.912859 10
1200 9.971189 5 0.997119 10
1250 10.799362 5 1.079936 10
1300 11.670104 5 1.167010 10
1350 12.558103 5 1.255810 10
1400 13.544095 5 1.354410 10
1450 14.501296 5 1.450130 10
1500 15.501912 5 1.550191 10
1550 16.516659 5 1.651666 10
1600 17.649826 5 1.764983 10
1650 18.752667 5 1.875267 10
1700 19.895870 5 1.989587 10
1750 21.028109 5 2.102811 10
1800 22.320972 5 2.232097 10
1850 23.545461 5 2.354546 10
1900 24.847322 5 2.484732 10
1950 26.128716 5 2.612872 10
2000 27.529008 5 2.752901 10
2050 28.939085 5 2.893909 10
2100 30.338729 5 3.033873 10
2150 31.755145 5 3.175514 10
2200 33.307718 5 3.330772 10
2250 34.796946 5 3.479695 10
2300 36.373807 5 3.637381 10
2350 37.860687 5 3.786069 10
2400 39.581916 5 3.958192 10
2450 41.225131 5 4.122513 10
2500 42.937737 5 4.293774 10
