2 0.309486 10 
2 1.043960 20 
2 1.544023 30 
2 1.698591 40 
2 1.761717 50 
2 1.806203 60 
2 1.876875 70 
2 1.532526 80 
2 1.681203 90 
2 1.923027 100 
2 1.961169 200 
2 1.817197 300 
2 1.892405 400 
2 1.862492 500 
2 1.867212 600 
2 1.863029 700 
2 1.845745 800 
2 1.859169 900 
2 1.853887 1000 
3 0.114233 10 
3 0.493359 20 
3 0.968460 30 
3 1.363224 40 
3 1.476582 50 
3 1.653889 60 
3 1.680227 70 
3 1.670362 80 
3 1.558335 90 
3 1.372309 100 
3 1.489180 200 
3 1.614656 300 
3 1.830769 400 
3 1.883479 500 
3 1.895170 600 
3 1.881130 700 
3 1.862416 800 
3 1.864765 900 
3 1.864277 1000 
4 0.041036 10 
4 0.249359 20 
4 0.581567 30 
4 0.882330 40 
4 1.047531 50 
4 1.461657 60 
4 1.767936 70 
4 1.839214 80 
4 1.678917 90 
4 1.481912 100 
4 1.588355 200 
4 1.721543 300 
4 1.945318 400 
4 1.910390 500 
4 1.906417 600 
4 1.932894 700 
4 1.885861 800 
4 1.904260 900 
4 1.883583 1000 
