2 0.000947s 10
2 0.001281s 20
2 0.002095s 30
2 0.003114s 40
2 0.005172s 50
2 0.008113s 60
2 0.016031s 70
2 0.024613s 80
2 0.034214s 90
2 0.057475s 100
2 0.604539s 200
2 2.471562s 300
2 10.811460s 400
2 25.924655s 500
2 50.025655s 600
2 76.551406s 700
2 131.437700s 800
2 193.598812s 900
2 250.904486s 1000
3 0.000808s 10
3 0.001096s 20
3 0.001967s 30
3 0.003397s 40
3 0.005508s 50
3 0.009092s 60
3 0.016748s 70
3 0.026890s 80
3 0.039093s 90
3 0.059783s 100
3 0.526490s 200
3 2.618593s 300
3 10.577641s 400
3 27.523835s 500
3 48.118527s 600
3 79.882620s 700
3 129.594226s 800
3 183.289116s 900
3 259.587935s 1000
4 0.001163s 10
4 0.001395s 20
4 0.002072s 30
4 0.003246s 40
4 0.005276s 50
4 0.009115s 60
4 0.015795s 70
4 0.023832s 80
4 0.039052s 90
4 0.048444s 100
4 0.517435s 200
4 2.472716s 300
4 11.025866s 400
4 24.743618s 500
4 48.302950s 600
4 74.942014s 700
4 128.949515s 800
4 186.396077s 900
4 248.557284s 1000
