2 0.000249s 10
2 0.000523s 20
2 0.001238s 30
2 0.002441s 40
2 0.004483s 50
2 0.007787s 60
2 0.016597s 70
2 0.028787s 80
2 0.040032s 90
2 0.042103s 100
2 0.375963s 200
2 2.471065s 300
2 9.850469s 400
2 27.572453s 500
2 48.351055s 600
2 80.715679s 700
2 131.073226s 800
2 179.474541s 900
2 260.773206s 1000
3 0.000815s 10
3 0.001084s 20
3 0.001842s 30
3 0.005400s 40
3 0.005630s 50
3 0.008525s 60
3 0.016406s 70
3 0.025959s 80
3 0.038672s 90
3 0.071453s 100
3 0.459246s 200
3 2.687535s 300
3 11.146667s 400
3 24.875642s 500
3 49.970352s 600
3 75.992319s 700
3 130.838942s 800
3 192.940390s 900
3 247.555615s 1000
4 0.002047s 10
4 0.002652s 20
4 0.003176s 30
4 0.005087s 40
4 0.009293s 50
4 0.011096s 60
4 0.015687s 70
4 0.022866s 80
4 0.038898s 90
4 0.059598s 100
4 0.499454s 200
4 2.594361s 300
4 9.808775s 400
4 27.814020s 500
4 51.844960s 600
4 76.816174s 700
4 129.237257s 800
4 179.095763s 900
4 255.651060s 1000
