50 1.415727 3 0.141573 10
100 2.650833 3 0.265083 10
150 3.810280 3 0.381028 10
200 5.592230 3 0.559223 10
250 7.418944 3 0.741894 10
300 9.527736 3 0.952774 10
350 12.396606 3 1.239661 10
400 15.994213 3 1.599421 10
450 19.508132 3 1.950813 10
500 23.281269 3 2.328127 10
550 27.986645 3 2.798664 10
600 33.636043 3 3.363604 10
650 40.484192 3 4.048419 10
700 48.289799 3 4.828980 10
750 55.319679 3 5.531968 10
800 63.806844 3 6.380684 10
850 73.683477 3 7.368348 10
900 85.073734 3 8.507373 10
950 98.750170 3 9.875017 10
1000 113.153621 3 11.315362 10
1050 129.391090 3 12.939109 10
1100 146.463431 3 14.646343 10
1150 161.579472 3 16.157947 10
1200 180.354019 3 18.035402 10
1250 199.626523 3 19.962652 10
1300 221.015583 3 22.101558 10
1350 241.418797 3 24.141880 10
1400 265.421138 3 26.542114 10
1450 294.079939 3 29.407994 10
1500 323.946599 3 32.394660 10
