50 1.100481 4 0.110048 10
100 1.291647 4 0.129165 10
150 1.547684 4 0.154768 10
200 1.839012 4 0.183901 10
250 2.758728 4 0.275873 10
300 3.865053 4 0.386505 10
350 4.599460 4 0.459946 10
400 6.093691 4 0.609369 10
450 7.530508 4 0.753051 10
500 9.525747 4 0.952575 10
550 11.906018 4 1.190602 10
600 14.714215 4 1.471422 10
650 17.696511 4 1.769651 10
700 21.417162 4 2.141716 10
750 25.194912 4 2.519491 10
800 29.674609 4 2.967461 10
850 34.659620 4 3.465962 10
900 40.432482 4 4.043248 10
950 46.050152 4 4.605015 10
1000 52.536662 4 5.253666 10
1050 59.484470 4 5.948447 10
1100 67.269501 4 6.726950 10
1150 75.639087 4 7.563909 10
1200 84.889661 4 8.488966 10
1250 94.410356 4 9.441036 10
1300 105.214664 4 10.521466 10
1350 116.144452 4 11.614445 10
1400 128.380372 4 12.838037 10
1450 141.076217 4 14.107622 10
