50 0.133677 7 0.013368 10
100 0.356846 7 0.035685 10
150 0.536188 7 0.053619 10
200 0.769771 7 0.076977 10
250 0.996492 7 0.099649 10
300 1.246030 7 0.124603 10
350 1.465616 7 0.146562 10
400 1.934554 7 0.193455 10
450 2.146410 7 0.214641 10
500 2.557823 7 0.255782 10
550 2.848026 7 0.284803 10
600 3.152626 7 0.315263 10
650 3.465793 7 0.346579 10
700 3.951223 7 0.395122 10
750 4.418046 7 0.441805 10
800 5.121256 7 0.512126 10
850 6.613351 7 0.661335 10
900 6.393529 7 0.639353 10
950 7.596655 7 0.759666 10
1000 8.442532 7 0.844253 10
1050 9.648225 7 0.964823 10
1100 10.874885 7 1.087488 10
1150 11.850495 7 1.185050 10
1200 13.770012 7 1.377001 10
1250 15.291008 7 1.529101 10
1300 17.546825 7 1.754682 10
1350 18.711730 7 1.871173 10
1400 19.996777 7 1.999678 10
1450 21.407198 7 2.140720 10
1500 23.016957 7 2.301696 10
