50 0.057497 4 0.005750 10
100 0.295945 4 0.029595 10
150 0.285897 4 0.028590 10
200 0.516022 4 0.051602 10
250 0.842487 4 0.084249 10
300 1.157073 4 0.115707 10
350 1.761940 4 0.176194 10
400 2.312887 4 0.231289 10
450 3.015869 4 0.301587 10
500 4.163244 4 0.416324 10
550 5.312159 4 0.531216 10
600 6.820618 4 0.682062 10
650 8.299989 4 0.829999 10
700 9.690684 4 0.969068 10
750 11.616299 4 1.161630 10
800 13.680043 4 1.368004 10
850 16.783500 4 1.678350 10
900 18.655729 4 1.865573 10
950 22.010592 4 2.201059 10
1000 25.134990 4 2.513499 10
1050 29.032433 4 2.903243 10
1100 33.570421 4 3.357042 10
1150 37.400260 4 3.740026 10
1200 43.045576 4 4.304558 10
1250 54.797742 4 5.479774 10
1300 58.217203 4 5.821720 10
1350 59.899496 4 5.989950 10
1400 65.663776 4 6.566378 10
1450 83.749267 4 8.374927 10
1500 85.778627 4 8.577863 10
