50 0.010028 2 0.001003 10
100 0.036686 2 0.003669 10
150 0.067288 2 0.006729 10
200 0.124915 2 0.012492 10
250 0.237010 2 0.023701 10
300 0.299275 2 0.029927 10
350 0.441678 2 0.044168 10
400 0.719693 2 0.071969 10
450 0.941156 2 0.094116 10
500 1.180410 2 0.118041 10
550 1.442084 2 0.144208 10
600 1.723052 2 0.172305 10
650 2.022255 2 0.202225 10
700 2.356373 2 0.235637 10
750 2.710471 2 0.271047 10
800 3.092720 2 0.309272 10
850 3.486886 2 0.348689 10
900 3.919586 2 0.391959 10
950 4.385486 2 0.438549 10
1000 4.866082 2 0.486608 10
1050 5.373289 2 0.537329 10
1100 5.901976 2 0.590198 10
1150 6.466232 2 0.646623 10
1200 7.023696 2 0.702370 10
1250 7.621971 2 0.762197 10
1300 8.240222 2 0.824022 10
1350 8.962080 2 0.896208 10
1400 9.575598 2 0.957560 10
1450 10.288811 2 1.028881 10
1500 11.103035 2 1.110303 10
1550 11.858869 2 1.185887 10
1600 13.192686 2 1.319269 10
1650 13.438469 2 1.343847 10
1700 14.306680 2 1.430668 10
1750 15.223014 2 1.522301 10
1800 16.074541 2 1.607454 10
1850 17.347132 2 1.734713 10
1900 17.949759 2 1.794976 10
1950 19.534556 2 1.953456 10
2000 20.297701 2 2.029770 10
2050 21.109313 2 2.110931 10
2100 22.225330 2 2.222533 10
2150 23.350518 2 2.335052 10
2200 24.645181 2 2.464518 10
2250 26.079306 2 2.607931 10
2300 27.126020 2 2.712602 10
2350 28.997342 2 2.899734 10
2400 31.280004 2 3.128000 10
2450 31.208340 2 3.120834 10
2500 32.694825 2 3.269483 10
