2 0.000048s 10
2 0.000204s 20
2 0.000633s 30
2 0.001419s 40
2 0.002895s 50
2 0.004785s 60
2 0.008097s 70
2 0.010607s 80
2 0.018019s 90
2 0.017622s 100
2 0.291469s 200
2 1.027334s 300
2 2.744749s 400
2 5.239744s 500
2 9.278127s 600
2 15.318662s 700
2 53.260246s 800
2 33.193318s 900
2 45.873440s 1000
4 0.000049s 10
4 0.000216s 20
4 0.000692s 30
4 0.001518s 40
4 0.002819s 50
4 0.004989s 60
4 0.007660s 70
4 0.008883s 80
4 0.011858s 90
4 0.018970s 100
4 0.368946s 200
4 1.213192s 300
4 2.900004s 400
4 5.721931s 500
4 9.821154s 600
4 15.659858s 700
4 73.318611s 800
4 33.327830s 900
4 45.910650s 1000
9 0.000046s 10
9 0.000230s 20
9 0.000676s 30
9 0.001538s 40
9 0.002959s 50
9 0.004945s 60
9 0.007780s 70
9 0.009099s 80
9 0.012161s 90
9 0.018625s 100
9 0.365926s 200
9 1.261790s 300
9 3.027594s 400
9 5.973365s 500
9 10.305958s 600
9 16.438014s 700
9 60.856614s 800
9 34.895418s 900
9 48.046774s 1000
16 0.000060s 10
16 0.000227s 20
16 0.000689s 30
16 0.001564s 40
16 0.002999s 50
16 0.005013s 60
16 0.007678s 70
16 0.008914s 80
16 0.012043s 90
16 0.018734s 100
16 0.353941s 200
16 1.173250s 300
16 2.857424s 400
16 5.678956s 500
16 9.821930s 600
16 15.735981s 700
16 71.748128s 800
16 33.528739s 900
16 46.067075s 1000
25 0.000049s 10
25 0.000225s 20
25 0.000694s 30
25 0.001587s 40
25 0.002998s 50
25 0.004936s 60
25 0.007716s 70
25 0.009387s 80
25 0.011723s 90
25 0.018720s 100
25 0.332470s 200
25 1.202473s 300
25 2.888751s 400
25 5.715949s 500
25 9.988688s 600
25 15.971894s 700
25 33.259485s 800
25 33.962509s 900
25 46.847200s 1000
