100 0.039956 8 0.003996 10
200 0.127837 8 0.012784 10
300 0.342063 8 0.034206 10
400 0.719487 8 0.071949 10
500 1.485484 8 0.148548 10
600 2.342463 8 0.234246 10
700 3.642768 8 0.364277 10
800 4.774219 8 0.477422 10
900 6.129323 8 0.612932 10
1000 7.532333 8 0.753233 10
1100 9.292585 8 0.929259 10
1200 11.027642 8 1.102764 10
1300 12.836997 8 1.283700 10
1400 15.176852 8 1.517685 10
1500 17.583152 8 1.758315 10
1600 19.651735 8 1.965173 10
1700 22.250997 8 2.225100 10
1800 24.737370 8 2.473737 10
1900 27.613951 8 2.761395 10
2000 30.872863 8 3.087286 10
