50 0.897405 3 0.089741 10
100 1.151549 3 0.115155 10
150 1.748841 3 0.174884 10
200 2.479709 3 0.247971 10
250 3.232310 3 0.323231 10
300 4.128818 3 0.412882 10
350 5.699655 3 0.569966 10
400 7.638300 3 0.763830 10
450 9.509261 3 0.950926 10
500 12.899576 3 1.289958 10
550 17.572837 3 1.757284 10
600 22.637160 3 2.263716 10
650 28.956871 3 2.895687 10
700 36.507360 3 3.650736 10
750 44.785391 3 4.478539 10
800 54.533747 3 5.453375 10
850 65.202408 3 6.520241 10
900 77.860892 3 7.786089 10
950 91.267270 3 9.126727 10
1000 106.535891 3 10.653589 10
