100 0.386794 1 0.038679 10
200 3.437984 1 0.343798 10
300 16.054388 1 1.605439 10
400 42.694396 1 4.269440 10
500 95.068351 1 9.506835 10
600 177.180299 1 17.718030 10
700 299.582475 1 29.958247 10
800 469.138767 1 46.913877 10
900 713.966560 1 71.396656 10
1000 973.562333 1 97.356233 10
1100 1321.589422 1 132.158942 10
1200 1738.851607 1 173.885161 10
1300 2232.172944 1 223.217294 10
1400 2812.921856 1 281.292186 10
1500 3479.637105 1 347.963710 10
1600 4241.282006 1 424.128201 10
1700 5103.891696 1 510.389170 10
1800 6073.453649 1 607.345365 10
1900 7166.320067 1 716.632007 10
2000 8370.098627 1 837.009863 10
