50 0.193870 2 0.019387 10
100 0.401126 2 0.040113 10
150 0.745498 2 0.074550 10
200 1.260707 2 0.126071 10
250 1.953527 2 0.195353 10
300 3.089353 2 0.308935 10
350 4.649265 2 0.464926 10
400 7.442660 2 0.744266 10
450 11.608288 2 1.160829 10
500 16.884787 2 1.688479 10
550 23.507983 2 2.350798 10
600 31.425276 2 3.142528 10
650 40.477047 2 4.047705 10
700 51.297453 2 5.129745 10
750 63.718366 2 6.371837 10
800 77.723804 2 7.772380 10
850 93.904815 2 9.390482 10
900 111.492451 2 11.149245 10
950 131.249235 2 13.124923 10
1000 153.214298 2 15.321430 10
1050 177.440476 2 17.744048 10
1100 204.173497 2 20.417350 10
1150 233.078007 2 23.307801 10
1200 264.996118 2 26.499612 10
1250 299.129927 2 29.912993 10
1300 336.739849 2 33.673985 10
1350 376.632192 2 37.663219 10
1400 420.377583 2 42.037758 10
1450 466.810190 2 46.681019 10
1500 516.789098 2 51.678910 10
