100 0.038072 1 0.003807 10
200 0.279446 1 0.027945 10
300 0.879362 1 0.087936 10
400 1.829522 1 0.182952 10
500 2.927047 1 0.292705 10
600 4.331316 1 0.433132 10
700 5.793816 1 0.579382 10
800 7.710631 1 0.771063 10
900 9.877562 1 0.987756 10
1000 12.079979 1 1.207998 10
1100 14.496362 1 1.449636 10
1200 17.204515 1 1.720451 10
1300 20.125968 1 2.012597 10
1400 23.745241 1 2.374524 10
1500 27.626213 1 2.762621 10
1600 30.762921 1 3.076292 10
1700 34.526319 1 3.452632 10
1800 38.890165 1 3.889016 10
1900 42.815089 1 4.281509 10
2000 48.047620 1 4.804762 10
