100 0.037190 4 0.003719 10
200 0.133067 4 0.013307 10
300 0.371246 4 0.037125 10
400 0.802307 4 0.080231 10
500 1.669561 4 0.166956 10
600 2.762676 4 0.276268 10
700 3.893848 4 0.389385 10
800 5.190344 4 0.519034 10
900 6.700882 4 0.670088 10
1000 8.341611 4 0.834161 10
1100 9.989672 4 0.998967 10
1200 12.095676 4 1.209568 10
1300 14.007440 4 1.400744 10
1400 16.478728 4 1.647873 10
1500 19.041826 4 1.904183 10
1600 21.594494 4 2.159449 10
1700 24.156368 4 2.415637 10
1800 27.041581 4 2.704158 10
1900 30.076413 4 3.007641 10
2000 33.546503 4 3.354650 10
