2 0.100223 10 
2 0.537661 20 
2 0.939948 30 
2 1.463505 40 
2 1.675238 50 
2 1.761423 60 
2 1.844496 70 
2 1.867170 80 
2 1.922377 90 
2 1.908739 100 
2 1.662723 200 
2 1.611072 300 
2 1.662793 400 
2 1.699468 500 
2 1.700729 600 
2 1.701477 700 
2 1.596395 800 
2 1.710931 900 
2 1.715172 1000 
4 0.057150 10 
4 0.342933 20 
4 0.774475 30 
4 1.172843 40 
4 1.492166 50 
4 1.614498 60 
4 1.764874 70 
4 1.744415 80 
4 1.803309 90 
4 1.775018 100 
4 1.663355 200 
4 1.603668 300 
4 1.652261 400 
4 1.693297 500 
4 1.693748 600 
4 1.697844 700 
4 1.591030 800 
4 1.705646 900 
4 1.706950 1000 
9 0.024326 10 
9 0.184470 20 
9 0.485936 30 
9 0.863196 40 
9 1.146203 50 
9 1.376600 60 
9 1.536348 70 
9 1.563728 80 
9 1.622852 90 
9 1.647063 100 
9 1.628975 200 
9 1.602667 300 
9 1.659005 400 
9 1.694137 500 
9 1.694173 600 
9 1.697184 700 
9 1.594728 800 
9 1.710436 900 
9 1.709741 1000 
16 0.014681 10 
16 0.094135 20 
16 0.362164 30 
16 0.660577 40 
16 0.991131 50 
16 1.237043 60 
16 1.431610 70 
16 1.512487 80 
16 1.624951 90 
16 1.665613 100 
16 1.650107 200 
16 1.611548 300 
16 1.650404 400 
16 1.694111 500 
16 1.700408 600 
16 1.701555 700 
16 1.593856 800 
16 1.711858 900 
16 1.712798 1000 
25 0.009266 10 
25 0.059852 20 
25 0.217477 30 
25 0.492387 40 
25 0.779487 50 
25 1.027537 60 
25 1.260808 70 
25 1.360603 80 
25 1.473190 90 
25 1.565602 100 
25 1.634006 200 
25 1.588952 300 
25 1.648734 400 
25 1.687979 500 
25 1.687277 600 
25 1.697930 700 
25 1.604585 800 
25 1.709540 900 
25 1.714337 1000 
